No.;Stress (psi);Stress (Mpa);life;c
1;79920;551,029;1645524;0
2;80000;551,581;51114600;1
3;80000;551,581;51690816;1
4;80000;551,581;61994232;1
5;80000;551,581;103230036;1
6;80000;551,581;108332316;1
7;80000;551,581;108711504;1
8;80000;551,581;108726192;1
9;80000;551,581;119527452;1
10;86712;597,858;28056420;0
11;86975;599,672;5427072;0
12;87238;601,485;2959128;0
13;87412;602,685;26632440;0
14;87500;603,291;61632364;1
15;87500;603,291;61632864;1
16;97900;674,997;692172;0
17;97900;674,997;835164;0
18;99100;683,270;742680;0
19;99600;686,718;2021184;0
20;99800;688,097;503244;0
21;99900;688,786;2090736;0
22;100000;689,476;582228;0
23;100000;689,476;631008;0
24;100000;689,476;654516;0
25;100000;689,476;802512;0
26;121625;838,575;275544;0
27;122625;845,470;219240;0
28;123125;848,917;176364;0
29;123250;849,779;207144;0
30;124250;856,674;164376;0
31;124250;856,674;198252;0
32;124625;859,259;223272;0
33;124750;860,121;182556;0
34;124875;860,983;157824;0
35;124875;860,983;214020;0
36;148350;1022,837;75096;0
37;148350;1022,837;82980;0
38;149250;1029,043;79776;0
39;149400;1030,077;94356;0
40;149700;1032,145;61524;0
41;149700;1032,145;86364;0
42;149850;1033,179;71280;0
43;149850;1033,179;71532;0
44;149850;1033,179;76680;0
45;149850;1033,179;89424;0
46;179282;1236,106;36504;0
47;180376;1243,649;29196;0
48;181105;1248,675;35028;0
49;181835;1253,708;32688;0
50;182017;1254,963;28836;0
51;182017;1254,963;34848;0
52;182017;1254,963;37944;0
53;182200;1256,225;39924;0
54;182382;1257,480;28656;0
55;182382;1257,480;30168;0
56;197600;1362,404;16704;0
57;198000;1365,162;19944;0
58;199200;1373,436;22968;0
59;199200;1373,436;27432;0
60;199600;1376,194;28296;0
61;199800;1377,573;15948;0
62;199800;1377,573;16884;0
63;199800;1377,573;22464;0
64;199800;1377,573;33552;0
65;200000;1378,951;15876;0
66;223875;1543,564;11700;0
67;224325;1546,666;10836;0
68;224325;1546,666;12888;0
69;224550;1548,218;8820;0
70;224550;1548,218;12564;0
71;224775;1549,769;8208;0
72;224775;1549,769;9036;0
73;224775;1549,769;14544;0
74;225000;1551,320;11340;0
75;225000;1551,320;12852;0
